name,benefits
에버랜드 삼성카드,"[{'benefit_name': '레저', 'benefit_detail': '에버랜드50% 캐리비안베이30% 할인에버랜드 꿈빛 솜사탕 등급 적용'}, {'benefit_name': '포인트/캐시백', 'benefit_detail': '에버랜드 리조트 3% 솜 적립국내 가맹점 0.5% 솜 적립해외 1.5% 솜 적립'}, {'benefit_name': '간편결제', 'benefit_detail': '온라인 간편결제4.5% 솜 추가 적립'}, {'benefit_name': '외식', 'benefit_detail': '배달앱 4.5% 솜 추가 적립'}, {'benefit_name': '통신', 'benefit_detail': '통신요금 4.5% 솜 추가 적립'}, {'benefit_name': '문화', 'benefit_detail': '디지털콘텐츠 50% 솜 추가 적립'}]"
K-패스 삼성카드,"[{'benefit_name': '연회비지원', 'benefit_detail': '온라인신규회원 연회비 100% 캐시백(삼성개인신용카드 신규발급 시 제공)'}, {'benefit_name': '대중교통', 'benefit_detail': 'LED플레이트/대중교통10% 할인'}, {'benefit_name': '카페/베이커리', 'benefit_detail': '커피전문점 20% 결제일 할인'}, {'benefit_name': '문화', 'benefit_detail': '디지털콘텐츠/멤버십정기결제 시 20% 결제일 할인'}, {'benefit_name': '쇼핑', 'benefit_detail': '온라인쇼핑 3% 결제일 할인'}]"
모니모A 카드,"[{'benefit_name': '연회비지원', 'benefit_detail': '행사 응모필수!온라인신규회원 연회비 100% 캐시백(삼성개인신용카드 신규발급 시 제공)'}, {'benefit_name': '포인트/캐시백', 'benefit_detail': '국내외가맹점 최대1%모니머니리워드적립'}, {'benefit_name': '카페/베이커리', 'benefit_detail': '스타벅스 5,000원 할인'}, {'benefit_name': '쇼핑', 'benefit_detail': '면세점 최대 2% 모니머니리워드 적립백화점 최대 2% 모니머니리워드 적립프리미엄아울렛최대2%모니머니리워드적립온라인쇼핑몰 최대2%모니머니리워드적립해외 최대 2% 모니머니리워드 적립'}, {'benefit_name': '주유', 'benefit_detail': '모든주유소 최대 2%모니머니리워드적립전기차충전 최대 2%모니머니리워드적립'}, {'benefit_name': '금융', 'benefit_detail': '보험 최대 10% 모니머니리워드 적립'}, {'benefit_name': '레저', 'benefit_detail': '항공 최대 2% 모니머니리워드 적립'}, {'benefit_name': '편의점', 'benefit_detail': '편의점 최대 2% 모니머니리워드 적립'}, {'benefit_name': '의료', 'benefit_detail': '병원,약국 최대 2%모니머니리워드적립'}, {'benefit_name': '반려동물', 'benefit_detail': '동물병원 최대 2% 모니머니리워드적립'}, {'benefit_name': '교육', 'benefit_detail': '학원 최대 2% 모니머니리워드 적립'}, {'benefit_name': '영화', 'benefit_detail': '영화관 최대 2% 모니머니리워드 적립'}, {'benefit_name': '간편결제', 'benefit_detail': '간편결제업종 최대1%모니머니리워드적립'}, {'benefit_name': '대형마트', 'benefit_detail': '대형마트업종 최대1%모니머니리워드적립'}, {'benefit_name': '외식', 'benefit_detail': '외식업종 최대1%모니머니리워드적립'}, {'benefit_name': '통신', 'benefit_detail': '통신업종 최대1%모니머니리워드적립'}, {'benefit_name': '렌탈', 'benefit_detail': '렌탈업종 최대1%모니머니리워드적립'}, {'benefit_name': '육아', 'benefit_detail': '육아업종 최대1%모니머니리워드적립'}, {'benefit_name': '문화', 'benefit_detail': '문화업종 최대1%모니머니리워드적립'}, {'benefit_name': '뷰티', 'benefit_detail': '뷰티업종 최대1%모니머니리워드적립'}]"
현대카드ZERO Edition3(포인트형),"[{'benefit_name': '연회비지원', 'benefit_detail': '신규회원 Welcome 이벤트'}, {'benefit_name': '포인트/캐시백', 'benefit_detail': '국내외 가맹점 1.2% M포인트 적립'}, {'benefit_name': '대중교통', 'benefit_detail': '대중교통 1.2% M포인트 적립'}, {'benefit_name': '간편결제', 'benefit_detail': '간편결제 1.2% M포인트 적립'}, {'benefit_name': '편의점', 'benefit_detail': '편의점 1.2% M포인트 적립'}, {'benefit_name': '통신', 'benefit_detail': '통신 업종 1.2% M포인트 적립'}, {'benefit_name': '카페/베이커리', 'benefit_detail': '카페/베이커리 1.2% M포인트 적립'}, {'benefit_name': '대형마트', 'benefit_detail': '대형마트 1.2% M포인트 적립'}, {'benefit_name': '주유', 'benefit_detail': '주유소 1.2% M포인트 적립'}, {'benefit_name': '외식', 'benefit_detail': '음식점 1.2% M포인트 적립'}, {'benefit_name': '쇼핑', 'benefit_detail': '쇼핑 1.2% M포인트 적립'}, {'benefit_name': '영화', 'benefit_detail': '영화관 1.2% M포인트 적립'}, {'benefit_name': '뷰티', 'benefit_detail': '뷰티 업종 1.2% M포인트 적립'}, {'benefit_name': '레저', 'benefit_detail': '레저 업종 1.2% M포인트 적립'}, {'benefit_name': '문화', 'benefit_detail': '도서문화 업종 1.2% M포인트 적립'}, {'benefit_name': '렌탈', 'benefit_detail': '렌탈 업종 1.2% M포인트 적립'}, {'benefit_name': '오토', 'benefit_detail': '오토 업종 1.2% M포인트 적립'}, {'benefit_name': '교육', 'benefit_detail': '교육 이용금액 1.2% M포인트 적립'}, {'benefit_name': '육아', 'benefit_detail': '육아 업종 1.2% M포인트 적립'}, {'benefit_name': '의료', 'benefit_detail': '의료 업종 1.2% M포인트 적립'}, {'benefit_name': '반려동물', 'benefit_detail': '동물병원 1.2% M포인트 적립'}, {'benefit_name': '금융', 'benefit_detail': '금융 업종 1.2% M포인트 적립'}, {'benefit_name': '하이패스', 'benefit_detail': '후불하이패스 발급 가능'}]"
롯데카드 텔로 SE,"[{'benefit_name': '통신', 'benefit_detail': 'SKT 통신비 최대 1만3천원 할인'}, {'benefit_name': '납부 혜택', 'benefit_detail': 'SKT 제품 최대 36개월 할부SKT 매장에서 SKT 제품 구매 시'}]"
삼성 iD AUTO 카드,"[{'benefit_name': '주유', 'benefit_detail': '주유 리터당 70원·90원 할인'}, {'benefit_name': '하이패스', 'benefit_detail': '하이패스 10% 결제일 할인'}, {'benefit_name': '오토', 'benefit_detail': '주차장·대리운전 10% 결제일 할인차량 점검 서비스'}, {'benefit_name': '언제나할인', 'benefit_detail': '국내외 가맹점 0.5% 결제일할인'}, {'benefit_name': '대형마트', 'benefit_detail': '할인점 1.5% 결제일 할인'}, {'benefit_name': '편의점', 'benefit_detail': '편의점 1.5% 결제일 할인'}, {'benefit_name': '외식', 'benefit_detail': '배달앱 1.5% 결제일 할인'}, {'benefit_name': '쇼핑', 'benefit_detail': '온라인쇼핑몰 1.5% 결제일 할인'}, {'benefit_name': '카페/베이커리', 'benefit_detail': '커피전문점 1.5% 결제일 할인'}, {'benefit_name': '영화', 'benefit_detail': '영화 5천원 결제일 할인'}]"
현대카드 Boutique - Velvet,"[{'benefit_name': '연회비지원', 'benefit_detail': '신규회원 Welcome 이벤트'}, {'benefit_name': '포인트/캐시백', 'benefit_detail': '대상 가맹점 5% M포인트 적립국내외 가맹점 1.5% M포인트 적립M 긴급적립(선지급 포인트 서비스)'}, {'benefit_name': '바우처', 'benefit_detail': '연간 보너스 5만원 크레딧'}, {'benefit_name': '프리미엄', 'benefit_detail': '인천국제공항 라운지 무료 이용인천국제공항 발레파킹 무료 이용메탈 플레이트 제공'}, {'benefit_name': '쇼핑', 'benefit_detail': '온라인몰 5% M포인트 적립쇼핑 업종 1.5% M포인트 적립'}, {'benefit_name': '대형마트', 'benefit_detail': '대형마트 업종 5% M포인트 적립대형마트 업종 1.5% M포인트 적립'}, {'benefit_name': '교육', 'benefit_detail': '교육 업종 5% M포인트 적립교육 업종 1.5% M포인트 적립'}, {'benefit_name': '대중교통', 'benefit_detail': '대중교통 1.5% M포인트 적립'}, {'benefit_name': '뷰티', 'benefit_detail': '뷰티 업종 1.5% M포인트 적립'}, {'benefit_name': '카페/베이커리', 'benefit_detail': '카페/베이커리 업종 1.5% M포인트'}, {'benefit_name': '외식', 'benefit_detail': '외식 업종 1.5% M포인트 적립'}, {'benefit_name': '주유', 'benefit_detail': '주유 업종 1.5% M포인트 적립'}, {'benefit_name': '오토', 'benefit_detail': '오토 업종 1.5% M포인트 적립'}, {'benefit_name': '편의점', 'benefit_detail': '편의점 업종 1.5% M포인트 적립'}, {'benefit_name': '영화', 'benefit_detail': '영화 업종 1.5% M포인트 적립'}, {'benefit_name': '통신', 'benefit_detail': '통신 업종 1.5% M포인트 적립'}, {'benefit_name': '육아', 'benefit_detail': '육아 업종 1.5% M포인트 적립'}, {'benefit_name': '문화', 'benefit_detail': '문화 업종 1.5% M포인트 적립'}, {'benefit_name': '의료', 'benefit_detail': '의료 업종 1.5% M포인트 적립'}, {'benefit_name': '금융', 'benefit_detail': '금융 업종 1.5% M포인트 적립'}, {'benefit_name': '간편결제', 'benefit_detail': '간편결제 1.5% M포인트 적립'}, {'benefit_name': '레저', 'benefit_detail': '레저 업종 1.5% M포인트 적립'}, {'benefit_name': '렌탈', 'benefit_detail': '렌탈 업종 1.5% M포인트 적립'}, {'benefit_name': '반려동물', 'benefit_detail': '반려동물 업종 1.5% M포인트 적립'}]"
KB국민 K-패스카드,"[{'benefit_name': '대중교통', 'benefit_detail': '버스, 지하철 10%청구할인'}, {'benefit_name': '통신', 'benefit_detail': '이동통신요금 자동납부시 5% 청구할인'}, {'benefit_name': '카페/베이커리', 'benefit_detail': '카페 최대 10% 청구할인KB Pay 이용시'}, {'benefit_name': '의료', 'benefit_detail': '약국 최대 10% 청구할인KB Pay 이용시'}, {'benefit_name': '편의점', 'benefit_detail': '편의점 최대 10% 청구할인KB Pay 이용시'}, {'benefit_name': '영화', 'benefit_detail': 'CGV, 롯데시네마 최대 10% 할인KB Pay 이용시'}, {'benefit_name': '외식', 'benefit_detail': '패스트푸드점 최대 10% 청구할인KB Pay 이용시'}, {'benefit_name': '간편결제', 'benefit_detail': 'KB Pay 5% 추가할인'}]"
MY S-OIL 삼성카드,"[{'benefit_name': '주유', 'benefit_detail': 'S-OIL 10%  할인'}, {'benefit_name': '포인트/캐시백', 'benefit_detail': 'S-OIL 포인트 적립 서비스'}, {'benefit_name': '카페/베이커리', 'benefit_detail': '스타벅스 DT 30% 결제일할인'}, {'benefit_name': '하이패스', 'benefit_detail': '고속도로 통행료 10% 결제일할인'}, {'benefit_name': '오토', 'benefit_detail': '주차장·대리운전 10% 할인'}]"
LOCA LIKIT,"[{'benefit_name': '연회비지원', 'benefit_detail': '신규회원 연회비 100% 캐시백이벤트롯데카드 온라인 신청 특별 혜택'}, {'benefit_name': '대중교통', 'benefit_detail': '시내버스, 지하철 10% 결제일 할인'}, {'benefit_name': '통신', 'benefit_detail': '이동통신 10% 결제일 할인'}, {'benefit_name': '외식', 'benefit_detail': '배달앱 5% 결제일 할인'}, {'benefit_name': '카페/베이커리', 'benefit_detail': '스타벅스 최대 60% 할인'}, {'benefit_name': '영화', 'benefit_detail': '롯데시네마·CGV 50% 결제일 할인'}]"
신한카드 RPM+ Platinum#,"[{'benefit_name': '연회비지원', 'benefit_detail': '신규 고객 연회비 100% 캐시백!신규 회원이면 참여 가능!'}, {'benefit_name': '주유', 'benefit_detail': '모든 주유소 리터당 40~150P적립모든 충전소 리터당 10~50P 적립'}, {'benefit_name': '프리미엄', 'benefit_detail': '인천공항 발렛파킹 무료 서비스전국 40개 호텔 레스토랑,객실 할인인천공항 무료 커피, 레스토랑 할인1일 무료 주차 서비스'}, {'benefit_name': '쇼핑', 'benefit_detail': '롯데/현대백화점 이용금액 1~5%적립홈쇼핑/온라인몰 이용금액 1~5%적립'}, {'benefit_name': '오토', 'benefit_detail': '전국 차량정비소/타이어샵 1~5%적립'}, {'benefit_name': '대형마트', 'benefit_detail': '롯데마트/이마트/홈플러스 1~5%적립'}, {'benefit_name': '대중교통', 'benefit_detail': '택시 이용금액 1~5% 포인트 적립'}, {'benefit_name': '편의점', 'benefit_detail': '전국 편의점 1~5% 포인트 적립'}, {'benefit_name': '포인트/캐시백', 'benefit_detail': '국내외 가맹점 0.2~2% 포인트적립'}]"
LOCA LIKIT Play,"[{'benefit_name': '연회비지원', 'benefit_detail': '신규회원 연회비 100% 캐시백이벤트롯데카드 온라인 신청 특별 혜택'}, {'benefit_name': '문화', 'benefit_detail': '스트리밍 서비스 60% 결제일 할인'}, {'benefit_name': '쇼핑', 'benefit_detail': '쇼핑 멤버십 60% 결제일 할인'}, {'benefit_name': '주유', 'benefit_detail': '주유소 60% 결제일 할인'}, {'benefit_name': '영화', 'benefit_detail': '영화관 60% 결제일 할인'}]"
현대카드 Boutique - Copper,"[{'benefit_name': '연회비지원', 'benefit_detail': '신규회원 Welcome 이벤트'}, {'benefit_name': '포인트/캐시백', 'benefit_detail': '대상 가맹점 5% M포인트 적립국내외 가맹점 1.5% M포인트 적립M 긴급적립(선지급 포인트 서비스)'}, {'benefit_name': '바우처', 'benefit_detail': '연간 보너스 5만원 크레딧'}, {'benefit_name': '프리미엄', 'benefit_detail': '인천국제공항 라운지 무료 이용인천국제공항 발레파킹 무료 이용메탈 플레이트 제공'}, {'benefit_name': '쇼핑', 'benefit_detail': '온라인몰 5% M포인트 적립쇼핑 업종 1.5% M포인트 적립'}, {'benefit_name': '외식', 'benefit_detail': '배달 앱 5% M포인트 적립외식 업종 1.5% M포인트 적립'}, {'benefit_name': '편의점', 'benefit_detail': '편의점 5% M포인트 적립편의점 업종 1.5% M포인트 적립'}, {'benefit_name': '대중교통', 'benefit_detail': '대중교통 5% M포인트 적립대중교통 1.5% M포인트 적립'}, {'benefit_name': '대형마트', 'benefit_detail': '대형마트 업종 1.5% M포인트 적립'}, {'benefit_name': '주유', 'benefit_detail': '주유 업종 1.5% M포인트 적립'}, {'benefit_name': '오토', 'benefit_detail': '오토 업종 1.5% M포인트 적립'}, {'benefit_name': '카페/베이커리', 'benefit_detail': '카페/베이커리 업종1.5%M포인트적립'}, {'benefit_name': '영화', 'benefit_detail': '영화 업종 1.5% M포인트 적립'}, {'benefit_name': '통신', 'benefit_detail': '통신 업종 1.5% M포인트 적립'}, {'benefit_name': '교육', 'benefit_detail': '교육 업종 1.5% M포인트 적립'}, {'benefit_name': '육아', 'benefit_detail': '육아 업종 1.5% M포인트 적립'}, {'benefit_name': '문화', 'benefit_detail': '문화 업종 1.5% M포인트 적립'}, {'benefit_name': '레저', 'benefit_detail': '레저 업종 1.5% M포인트 적립'}, {'benefit_name': '의료', 'benefit_detail': '의료 업종 1.5% M포인트 적립'}, {'benefit_name': '뷰티', 'benefit_detail': '뷰티 업종 1.5% M포인트 적립'}, {'benefit_name': '금융', 'benefit_detail': '금융 업종 1.5% M포인트 적립'}, {'benefit_name': '간편결제', 'benefit_detail': '간편결제 1.5% M포인트 적립'}, {'benefit_name': '렌탈', 'benefit_detail': '렌탈 업종 1.5% M포인트 적립'}, {'benefit_name': '반려동물', 'benefit_detail': '반려동물 업종 1.5% M포인트 적립'}]"
BC 바로 에어 플러스 아시아나,"[{'benefit_name': '항공마일리지', 'benefit_detail': '아시아나 1천원당 1.3마일 적립!'}]"
디지로카 Wellness,"[{'benefit_name': '연회비지원', 'benefit_detail': '신규회원 연회비 100% 캐시백이벤트롯데카드 온라인 신청 특별 혜택'}, {'benefit_name': '레저', 'benefit_detail': '스포츠센터 최대 7% 캐시백'}, {'benefit_name': '납부 혜택', 'benefit_detail': '국내 가맹점 2~3개월 무이자 할부'}, {'benefit_name': '뷰티', 'benefit_detail': '미용실 최대 7% 캐시백'}, {'benefit_name': '의료', 'benefit_detail': '피부과, 성형외과 최대 7% 캐시백'}]"
현대카드 Boutique - Satin,"[{'benefit_name': '연회비지원', 'benefit_detail': '신규회원 Welcome 이벤트'}, {'benefit_name': '포인트/캐시백', 'benefit_detail': '대상 가맹점 5% M포인트 적립국내외 가맹점 1.5% M포인트 적립M 긴급적립(선지급 포인트 서비스)'}, {'benefit_name': '바우처', 'benefit_detail': '연간 보너스 5만원 크레딧'}, {'benefit_name': '프리미엄', 'benefit_detail': '인천국제공항 라운지 무료 이용인천국제공항 발레파킹 무료 이용메탈 플레이트 제공'}, {'benefit_name': '쇼핑', 'benefit_detail': '온라인몰 5% M포인트 적립쇼핑 업종 1.5% M포인트 적립'}, {'benefit_name': '뷰티', 'benefit_detail': '올리브영 5% M포인트 적립뷰티 업종 1.5% M포인트 적립'}, {'benefit_name': '카페/베이커리', 'benefit_detail': '카페 업종 5% M포인트 적립카페/베이커리 업종 1.5% M포인트'}, {'benefit_name': '대중교통', 'benefit_detail': '대중교통 5% M포인트 적립대중교통 업종 1.5% M포인트 적립'}, {'benefit_name': '대형마트', 'benefit_detail': '대형마트 업종 1.5% M포인트 적립'}, {'benefit_name': '외식', 'benefit_detail': '외식 업종 1.5% M포인트 적립'}, {'benefit_name': '주유', 'benefit_detail': '주유 업종 1.5% M포인트 적립'}, {'benefit_name': '오토', 'benefit_detail': '오토 업종 1.5% M포인트 적립'}, {'benefit_name': '편의점', 'benefit_detail': '편의점 업종 1.5% M포인트 적립'}, {'benefit_name': '영화', 'benefit_detail': '영화 업종 1.5% M포인트 적립'}, {'benefit_name': '통신', 'benefit_detail': '통신 업종 1.5% M포인트 적립'}, {'benefit_name': '교육', 'benefit_detail': '교육 업종 1.5% M포인트 적립'}, {'benefit_name': '육아', 'benefit_detail': '육아 업종 1.5% M포인트 적립'}, {'benefit_name': '문화', 'benefit_detail': '문화 업종 1.5% M포인트 적립'}, {'benefit_name': '레저', 'benefit_detail': '레저 업종 1.5% M포인트 적립'}, {'benefit_name': '의료', 'benefit_detail': '의료 업종 1.5% M포인트 적립'}, {'benefit_name': '금융', 'benefit_detail': '금융 업종 1.5% M포인트 적립'}, {'benefit_name': '간편결제', 'benefit_detail': '간편결제 1.5% M포인트 적립'}, {'benefit_name': '렌탈', 'benefit_detail': '렌탈 업종 1.5% M포인트 적립'}, {'benefit_name': '반려동물', 'benefit_detail': '반려동물 업종 1.5% M포인트 적립'}]"
KT 마이알뜰폰 BC 바로카드,"[{'benefit_name': '통신', 'benefit_detail': 'KT알뜰폰통신비 최대13,000원할인'}, {'benefit_name': '주유', 'benefit_detail': 'SK 주유소 1% 결제일 할인'}]"
BC 바로 MACAO 카드,"[{'benefit_name': '주유', 'benefit_detail': '모든 주유소 최대 10% 할인'}, {'benefit_name': '쇼핑', 'benefit_detail': '온라인 쇼핑 최대 10% 할인'}, {'benefit_name': '대형마트', 'benefit_detail': '대형&기타 마트 최대 10% 할인'}, {'benefit_name': '언제나할인', 'benefit_detail': '해외 실적/한도 조건없이 2% 할인'}]"
KT DC PLUS BC 바로카드,"[{'benefit_name': '통신', 'benefit_detail': 'kt통신요금 최대 13,000원 할인'}, {'benefit_name': '주유', 'benefit_detail': 'SK 주유소 1% 결제일 할인'}]"
현대카드 대한항공카드 120,"[{'benefit_name': '항공마일리지', 'benefit_detail': '1천원당 최대 2 마일리지연간 보너스 6천 마일리지'}, {'benefit_name': '프리미엄', 'benefit_detail': '공항 및 호텔 발레파킹 무료 이용MasterCard 플래티넘 서비스'}, {'benefit_name': '바우처', 'benefit_detail': '대한항공 직판 국제선 항공권 할인쿠폰'}, {'benefit_name': '간편결제', 'benefit_detail': '대한항공 간편결제/현대카드 앱카드Apple Pay 이용 가능'}]"
IBK 포인트 3.8 신용카드,"[{'benefit_name': '포인트/캐시백', 'benefit_detail': '포인트/캐시백서비스 이용 시 유의사항결제 시 유의사항유의사항가족카드 유의사항해외이용 유의사항'}]"
삼성 iD NOMAD 카드,"[{'benefit_name': '바우처', 'benefit_detail': '기프트 서비스(연 3회)'}, {'benefit_name': '포인트/캐시백', 'benefit_detail': '국내외 가맹점 최대 2% 빅포인트적립'}, {'benefit_name': '문화', 'benefit_detail': '디지털콘텐츠 50% 할인'}, {'benefit_name': '쇼핑', 'benefit_detail': '멤버십 50% 할인'}, {'benefit_name': '영화', 'benefit_detail': '영화 5,000원 할인'}, {'benefit_name': '외식', 'benefit_detail': '쉐이크쉑/써브웨이 30% 할인'}, {'benefit_name': '프리미엄', 'benefit_detail': 'Mastercard 프리미엄 서비스국내 특급 호텔 무료 발렛파킹인천공항 무료 발렛파킹공항 라운지 무료 입장Dine with Mastercard'}]"
신한카드 처음(ANNIVERSE),"[{'benefit_name': '연회비지원', 'benefit_detail': '신규 고객 연회비 100% 캐시백!신규 회원이면 참여 가능!카드발급 유의사항'}, {'benefit_name': '통신', 'benefit_detail': '통신 10% 마이신한포인트 적립'}, {'benefit_name': '카페/베이커리', 'benefit_detail': '카페 5% 마이신한포인트 적립'}, {'benefit_name': '외식', 'benefit_detail': '외식 영역 5% 마이신한포인트 적립'}, {'benefit_name': '편의점', 'benefit_detail': '4대 편의점 5% 마이신한포인트 적립'}, {'benefit_name': '쇼핑', 'benefit_detail': '쇼핑 5% 마이신한포인트 적립'}, {'benefit_name': '포인트/캐시백', 'benefit_detail': '오늘도 5% 적립일상 속 5% 적립 서비스정기결제 최대 20% 적립 서비스소비관리 보너스 적립 서비스'}]"
네이버페이 taptap,"[{'benefit_name': '간편결제', 'benefit_detail': '네이버페이 간편결제 10%적립일상팩·온라인팩 선택해서 적립'}, {'benefit_name': '포인트/캐시백', 'benefit_detail': '일상팩 커피·편의점·배달앱 5%적립온라인팩 간편결제 시 3천P 추가적립온오프라인 0.5% 네이버페이 적립'}]"
기후동행 삼성카드,"[{'benefit_name': '연회비지원', 'benefit_detail': '온라인신규회원 연회비 100% 캐시백(삼성개인신용카드 신규발급 시 제공)'}, {'benefit_name': '대중교통', 'benefit_detail': '기후동행카드/디자인4종'}, {'benefit_name': '카페/베이커리', 'benefit_detail': '커피전문점 10% 결제일 할인'}, {'benefit_name': '편의점', 'benefit_detail': '편의점 10% 결제일할인'}, {'benefit_name': '통신', 'benefit_detail': '이동통신요금 정기결제시 5%/7%할인'}, {'benefit_name': '외식', 'benefit_detail': '배달앱 5%/7% 결제일할인'}, {'benefit_name': '쇼핑', 'benefit_detail': '온라인쇼핑몰 5%/7% 결제일할인생활잡화 5%/7% 결제일할인해외 1% 결제일할인'}, {'benefit_name': '뷰티', 'benefit_detail': '헬스&뷰티 5%/7% 결제일할인'}, {'benefit_name': '문화', 'benefit_detail': '디지털콘텐츠 정기결제시 30% 할인'}]"
신한카드 Shopping,"[{'benefit_name': '카페/베이커리', 'benefit_detail': '커피전문점 10% 할인'}, {'benefit_name': '주유', 'benefit_detail': '4대 정유사 리터당 60원 할인'}, {'benefit_name': '대형마트', 'benefit_detail': '5대 마트 10% 할인창고형 할인매장 10% 할인'}, {'benefit_name': '쇼핑', 'benefit_detail': '5대 백화점 10% 할인프리미엄 아울렛 10% 할인홈쇼핑 10% 할인소셜커머스 10% 할인마켓컬리, 프레딧, 집반찬연구소 할인'}, {'benefit_name': '문화', 'benefit_detail': '온라인서점 10% 할인'}, {'benefit_name': '뷰티', 'benefit_detail': '다이소, 올리브영 10% 할인'}]"
현대카드 대한항공카드 060,"[{'benefit_name': '항공마일리지', 'benefit_detail': '1천원당 최대 2 마일리지연간 보너스 1천 마일리지'}, {'benefit_name': '프리미엄', 'benefit_detail': 'MasterCard 플래티넘 서비스'}, {'benefit_name': '바우처', 'benefit_detail': '대한항공 직판 국제선 항공권 할인쿠폰'}, {'benefit_name': '간편결제', 'benefit_detail': '대한항공 간편결제/현대카드 앱카드Apple Pay 이용 가능'}]"
BC 바로 K-패스 카드,"[{'benefit_name': '대중교통', 'benefit_detail': '버스/지하철 15% 결제일 할인매월 최대 15,000원'}, {'benefit_name': '편의점', 'benefit_detail': '편의점 5% 결제일 할인'}, {'benefit_name': '문화', 'benefit_detail': '매월 자동 결제 되는OTT/스트리밍 15% 결제일 할인'}, {'benefit_name': '카페/베이커리', 'benefit_detail': '카페 5% 결제일 할인'}, {'benefit_name': '통신', 'benefit_detail': '이동통신요금 5% 결제일 할인'}, {'benefit_name': '언제나할인', 'benefit_detail': '해외 가맹점 3% 결제일 할인'}]"
롯데월드카드 (삼성카드),"[{'benefit_name': '언제나할인', 'benefit_detail': '국내 가맹점 0.5% 결제일할인'}, {'benefit_name': '문화', 'benefit_detail': '온라인서점 7% 결제일할인스트리밍 2천원 결제일할인'}, {'benefit_name': '레저', 'benefit_detail': '롯데월드 입장권 2인 50% 할인롯데월드 연간이용권 최대 25% 할인롯데월드 기타서비스 최대 50% 할인롯데월드직영기념품샵 10% 할인어드벤처 매직패스프리미엄 구매 혜택'}, {'benefit_name': '쇼핑', 'benefit_detail': '온라인쇼핑몰 7% 결제일할인신선식품 배송 7% 결제일할인해외 1.5% 결제일할인'}, {'benefit_name': '외식', 'benefit_detail': '배달앱 7% 결제일할인'}, {'benefit_name': '주유', 'benefit_detail': '모든 주유소 7% 결제일할인'}, {'benefit_name': '관리비', 'benefit_detail': '아파트관리비 7% 결제일할인'}]"
LOCA CLASSIC (로카 클래식),"[{'benefit_name': '연회비지원', 'benefit_detail': '신규회원 연회비 100% 캐시백이벤트롯데카드 온라인 신청 특별 혜택'}, {'benefit_name': '외식', 'benefit_detail': '외식 업종 최대 1% 결제일 할인'}, {'benefit_name': '레저', 'benefit_detail': '레저 업종 최대 1% 결제일 할인'}, {'benefit_name': '문화', 'benefit_detail': '문화 업종 최대 1% 결제일 할인'}, {'benefit_name': '편의점', 'benefit_detail': '편의점 업종 최대 1% 결제일 할인'}, {'benefit_name': '대형마트', 'benefit_detail': '대형마트 업종 최대 1% 결제일 할인'}, {'benefit_name': '주유', 'benefit_detail': '주유소 업종 최대 1% 결제일 할인'}, {'benefit_name': '통신', 'benefit_detail': '이동통신 업종 최대 1% 결제일 할인'}, {'benefit_name': '영화', 'benefit_detail': '영화관 최대 1% 결제일 할인'}, {'benefit_name': '교육', 'benefit_detail': '교육 업종 최대 1% 결제일 할인'}, {'benefit_name': '육아', 'benefit_detail': '육아 업종 최대 1% 결제일 할인'}, {'benefit_name': '의료', 'benefit_detail': '의료 업종 최대 1% 결제일 할인'}, {'benefit_name': '뷰티', 'benefit_detail': '뷰티 업종 최대 1% 결제일 할인'}, {'benefit_name': '렌탈', 'benefit_detail': '렌탈 서비스 최대 1% 결제일 할인'}, {'benefit_name': '오토', 'benefit_detail': '오토 서비스 최대 1% 결제일 할인'}, {'benefit_name': '금융', 'benefit_detail': '금융 업종 최대 1% 결제일 할인'}, {'benefit_name': '대중교통', 'benefit_detail': '대중교통 업종 최대 1% 결제일 할인'}, {'benefit_name': '언제나할인', 'benefit_detail': '국내외 가맹점에서 최대 1% 할인전월실적 없이 0.5% 할인은 기본!'}, {'benefit_name': '쇼핑', 'benefit_detail': '쇼핑 업종 최대 1% 결제일 할인'}, {'benefit_name': '카페/베이커리', 'benefit_detail': '커피/베이커리 최대 1% 결제일 할인'}]"
BC 바로 클리어 플러스,"[{'benefit_name': '문화', 'benefit_detail': '넷플릭스,유튜브프리미엄 등 10%할인'}, {'benefit_name': '쇼핑', 'benefit_detail': '온라인 쇼핑 10% 할인'}, {'benefit_name': '통신', 'benefit_detail': '휴대폰 통신요금 10% 할인'}, {'benefit_name': '대중교통', 'benefit_detail': '버스, 지하철 7% 할인'}, {'benefit_name': '뷰티', 'benefit_detail': '올리브영 10% 할인'}, {'benefit_name': '편의점', 'benefit_detail': '편의점 업종 10% 할인'}, {'benefit_name': '외식', 'benefit_detail': '매일 점심시간 전국 모든 식당배달앱 7% 청구할인'}]"
KB국민 기후동행카드,"[{'benefit_name': '대중교통', 'benefit_detail': '후불 기후동행카드 서비스'}, {'benefit_name': '카페/베이커리', 'benefit_detail': '커피·음료전문점 5% 청구할인'}, {'benefit_name': '편의점', 'benefit_detail': '편의점 5% 청구할인'}, {'benefit_name': '의료', 'benefit_detail': '약국 5% 청구할인'}, {'benefit_name': '외식', 'benefit_detail': '패스트푸드점 5% 청구할인'}, {'benefit_name': '쇼핑', 'benefit_detail': '올리브영 10% 청구할인KB Pay 쇼핑 10% 청구할인'}, {'benefit_name': '영화', 'benefit_detail': 'CGV, 롯데시네마 10% 청구할인'}, {'benefit_name': '레저', 'benefit_detail': '골프장 등 스포츠업종 5% 청구할인'}]"
