name,benefits
taptap DRIVE,"[{'benefit_name': '쇼핑', 'benefit_detail': '온라인쇼핑몰 1% 할인해외 1.5% 결제일할인'}, {'benefit_name': '카페/베이커리', 'benefit_detail': '커피전문점 10% 결제일할인'}, {'benefit_name': '주유', 'benefit_detail': '주유 리터당 최대 150원 할인'}, {'benefit_name': '간편결제', 'benefit_detail': '온라인 간편결제 1% 할인'}, {'benefit_name': '편의점', 'benefit_detail': '편의점 10% 결제일할인'}]"
LOCA 365,"[{'benefit_name': '연회비지원', 'benefit_detail': '신규회원 연회비 100% 캐시백이벤트롯데카드 온라인 신청 특별 혜택'}, {'benefit_name': '통신', 'benefit_detail': '이동통신비 10% 결제일 할인이동통신비 2~3개월 무이자 할부'}, {'benefit_name': '대중교통', 'benefit_detail': '대중교통 10% 결제일 할인'}, {'benefit_name': '외식', 'benefit_detail': '배달앱 10% 결제일 할인배달앱 2~3개월 무이자 할부'}, {'benefit_name': '금융', 'benefit_detail': '보험료 10% 결제일 할인보험료 2~3개월 무이자 할부'}, {'benefit_name': '교육', 'benefit_detail': '학습지 10% 결제일 할인학습지 2~3개월 무이자 할부'}, {'benefit_name': '문화', 'benefit_detail': '스트리밍 서비스 1,500원 할인스트리밍 2~3개월 무이자 할부'}, {'benefit_name': '관리비', 'benefit_detail': 'LOCA 365로 매달 나가는관리비, 공과금 10% 결제일 할인'}]"
삼성 iD GLOBAL 카드,"[{'benefit_name': '언제나할인', 'benefit_detail': '해외 수수료 할인국내 가맹점 0.5% 할인'}, {'benefit_name': '쇼핑', 'benefit_detail': '해외 2% 결제일할인신라면세점 1% 결제일할인리셀쇼핑 1% 결제일할인온라인쇼핑몰 1% 결제일할인백화점 1% 결제일할인홈쇼핑 1% 결제일할인인앱 결제 50% 결제일할인멤버십 정기결제 50% 결제일할인'}, {'benefit_name': '간편결제', 'benefit_detail': '삼성페이 해외 오프라인 5% 할인온라인 간편결제 1% 할인'}, {'benefit_name': '문화', 'benefit_detail': '디지털 콘텐츠 50% 결제일할인'}, {'benefit_name': '레저', 'benefit_detail': '항공권/여행사 1% 결제일할인'}, {'benefit_name': '편의점', 'benefit_detail': '편의점 1% 결제일할인'}, {'benefit_name': '카페/베이커리', 'benefit_detail': '카페 1% 결제일할인'}, {'benefit_name': '주유', 'benefit_detail': '주유소 1% 결제일할인'}, {'benefit_name': '프리미엄', 'benefit_detail': '공항 라운지 무료이용 서비스'}]"
신한카드 Mr.Life,"[{'benefit_name': '연회비지원', 'benefit_detail': '신규 고객 연회비 100% 캐시백!신규 회원이면 참여 가능!'}, {'benefit_name': '관리비', 'benefit_detail': '전기·도시가스 10% 할인!'}, {'benefit_name': '주유', 'benefit_detail': '4대 주유소 리터당 60원 할인!'}, {'benefit_name': '통신', 'benefit_detail': 'SKT·KT·LG U+ 10% 할인!인터넷, 집전화, 결합상품 포함 할인'}, {'benefit_name': '대형마트', 'benefit_detail': '이마트·롯데마트·홈플러스 10% 할인'}, {'benefit_name': '쇼핑', 'benefit_detail': '온라인쇼핑몰, 소셜커머스 10% 할인 라이프스타일 푸드 인테이크몰 20%'}, {'benefit_name': '카페/베이커리', 'benefit_detail': '스타벅스,커피빈 등 커피전문점 10%'}, {'benefit_name': '외식', 'benefit_detail': '외식·커피업종 이용금액 10% 할인!'}, {'benefit_name': '편의점', 'benefit_detail': '모든 편의점 10% 할인!'}, {'benefit_name': '의료', 'benefit_detail': '병원, 약국 업종 10% 할인!'}]"
디지로카 Edu,"[{'benefit_name': '연회비지원', 'benefit_detail': '신규회원 연회비 100% 캐시백이벤트롯데카드 온라인 신청 특별 혜택'}, {'benefit_name': '교육', 'benefit_detail': '유치원, 학원비 최대 7% 캐시백'}, {'benefit_name': '납부 혜택', 'benefit_detail': '국내 가맹점 2~3개월 무이자 할부'}]"
카드의정석 EVERY DISCOUNT,"[{'benefit_name': '연회비지원', 'benefit_detail': '온라인 신규 연회비 100% 캐시백'}, {'benefit_name': '언제나할인', 'benefit_detail': '국내외 가맹점 0.8% 청구할인할인한도 및 유의사항Two-in-One 결제서비스'}, {'benefit_name': '간편결제', 'benefit_detail': '간편결제 2% 추가 청구할인'}, {'benefit_name': '쇼핑', 'benefit_detail': '쇼핑 0.8% 청구할인'}, {'benefit_name': '카페/베이커리', 'benefit_detail': '카페/베이커리 0.8% 청구할인'}, {'benefit_name': '외식', 'benefit_detail': '외식업종 0.8% 청구 할인'}, {'benefit_name': '뷰티', 'benefit_detail': '뷰티업종 0.8% 청구 할인'}, {'benefit_name': '주유', 'benefit_detail': '주유 0.8% 청구할인'}, {'benefit_name': '문화', 'benefit_detail': '문화업종 0.8% 청구할인'}, {'benefit_name': '통신', 'benefit_detail': '통신 0.8% 청구할인'}, {'benefit_name': '육아', 'benefit_detail': '육아업종 0.8% 청구할인'}, {'benefit_name': '교육', 'benefit_detail': '교육업종 0.8% 청구할인'}, {'benefit_name': '영화', 'benefit_detail': '영화 0.8% 청구할인'}, {'benefit_name': '의료', 'benefit_detail': '의료업종 0.8% 청구할인'}, {'benefit_name': '대형마트', 'benefit_detail': '대형마트 0.8% 청구할인'}, {'benefit_name': '편의점', 'benefit_detail': '편의점 0.8% 청구할인'}, {'benefit_name': '대중교통', 'benefit_detail': '대중교통 0.8% 청구할인'}, {'benefit_name': '렌탈', 'benefit_detail': '렌탈업종 0.8% 청구할인'}]"
KB국민 톡톡Pay카드,"[{'benefit_name': '연회비지원', 'benefit_detail': '온라인신규신청 연회비 100% 캐시백홈페이지 내 신용카드 최초 발급 시'}, {'benefit_name': '간편결제', 'benefit_detail': '온/오프라인 간편결제 최대40%할인'}, {'benefit_name': '대중교통', 'benefit_detail': '버스, 지하철 이용시 10% 청구할인'}, {'benefit_name': '편의점', 'benefit_detail': 'GS25, CU 이용시10% 청구할인'}, {'benefit_name': '카페/베이커리', 'benefit_detail': '간편결제 사용시 카페 최대 40%할인'}, {'benefit_name': '대형마트', 'benefit_detail': '간편결제 사용시 마트 최대 40%할인'}, {'benefit_name': '쇼핑', 'benefit_detail': '간편결제 사용시 쇼핑 최대 40%할인'}, {'benefit_name': '외식', 'benefit_detail': '간편결제 사용시 외식 최대 40%할인'}, {'benefit_name': '영화', 'benefit_detail': '간편결제 사용시 영화 최대 40%할인'}, {'benefit_name': '교육', 'benefit_detail': '간편결제 사용시 학원 최대 40%할인'}, {'benefit_name': '뷰티', 'benefit_detail': '간편결제 사용시 뷰티 최대 40%할인'}, {'benefit_name': '주유', 'benefit_detail': '간편결제 사용시 주유 최대 40%할인'}, {'benefit_name': '의료', 'benefit_detail': '간편결제 사용시 의료 최대 40%할인'}, {'benefit_name': '레저', 'benefit_detail': '간편결제 사용시 레저 최대 40%할인'}]"
롯데백화점 롯데카드,"[{'benefit_name': '연회비지원', 'benefit_detail': '신규회원 연회비 100% 캐시백이벤트롯데카드 온라인 신청 특별 혜택'}, {'benefit_name': '쇼핑', 'benefit_detail': '롯데백화점 15% 청구할인 서비스롯데백화점 5%현장할인 e-쿠폰 제공롯데백화점 12개월 할부 서비스'}]"
카드의정석 SHOPPING+,"[{'benefit_name': '연회비지원', 'benefit_detail': '온라인 신규 연회비 100% 캐시백'}, {'benefit_name': '쇼핑', 'benefit_detail': '온라인 쇼핑 10% 청구할인오프라인 쇼핑 10% 청구할인통합 월 할인한도할인 제공 시 유의사항'}, {'benefit_name': '간편결제', 'benefit_detail': '온라인업종4대PAY결제시 5%추가할인할인 제공 시 유의사항'}, {'benefit_name': '주유', 'benefit_detail': '4대주유소주말주유시리터당60원청구할인'}, {'benefit_name': '카페/베이커리', 'benefit_detail': '스타벅스, 폴바셋 10% 청구할인'}]"
현대카드Z family Edition2,"[{'benefit_name': '연회비지원', 'benefit_detail': '신규회원 Welcome 이벤트'}, {'benefit_name': '쇼핑', 'benefit_detail': '온라인 쇼핑몰 10% 청구 할인'}, {'benefit_name': '의료', 'benefit_detail': '병원·약국 10% 청구 할인'}, {'benefit_name': '교육', 'benefit_detail': '학원 10% 청구 할인'}, {'benefit_name': '주유', 'benefit_detail': '주유 10% 청구 할인'}, {'benefit_name': '통신', 'benefit_detail': '생활요금 정기결제 10% 청구 할인'}, {'benefit_name': '관리비', 'benefit_detail': '생활요금 정기결제 10% 청구 할인'}]"
